keywords,year,_metaphor,_author,_url,id,bin,bin_start
"Uncategorized,Liquid",-700,"""For souls it is death to become water, and for water death to become earth. Water comes into existence out of earth, and soul out of water.""",Heraklitus (fl. 504-1 BCE),http://metaphors.lib.virginia.edu/metaphors/18387,still_life_water_death_water_water_death__0,-700-0,-700
Fire,-700,"""[He used to say that] there is a greater need to extinguish hybris than there is a blazing fire.""",Heraklitus (fl. 504-1 BCE),http://metaphors.lib.virginia.edu/metaphors/18388,still_life_extinguish_blazing_fire_1,-700-0,-700
"Uncategorized,Geography",-700,"""One would never discover the limits of soul, should one traverse every road--so deep a measure does it possess.""",Heraklitus (fl. 504-1 BCE),http://metaphors.lib.virginia.edu/metaphors/18389,landscape_every_road_discover_limits_2,-700-0,-700
"Government,Writing",1750,"""This then's the first great law by Nature giv'n, / Stamp'd on our souls, and ratify'd by Heav'n""","Jenyns, Soame (1704-1787); Browne, Isaac Hawkins (1706-1760)",http://metaphors.lib.virginia.edu/metaphors/14248,landscape_stamp_first_law_8199,1750-1800,1750
"Uncategorized,Light",-700,"""A dry gleam of light is the wisest and best soul.""",Heraklitus (fl. 504-1 BCE),http://metaphors.lib.virginia.edu/metaphors/18395,still_life_gleam_dry_light_8,-700-0,-700
Government,1750,"Music may hold ""sov'reign empire o'er the heart""","Stevenson, William (1730-1783)",http://metaphors.lib.virginia.edu/metaphors/14043,landscape_empire_8206,1750-1800,1750
Body,-700,"""And if the soul too, my dear Alcibiades, is to know herself, she must surely look at a soul [like an eye looking into the pupil of another eye], and especially at that region of it in which occurs the virtue of a soul--wisdom, and at any other part of a soul which resembles this?""",Plato (427 BC - 347 BC),http://metaphors.lib.virginia.edu/metaphors/25002,portrait_eye_looking_pupil_eye_17,-700-0,-700
Impressions,1750,"""Music, I said, is a vain sound, that only flatters the ear, and makes little or no impression upon the mind.""","Rousseau, Jean-Jacques (1712-1778); Kenrick, William (1729/30-1779)",http://metaphors.lib.virginia.edu/metaphors/21731,landscape_little_impression_upon_8216,1750-1800,1750
Government,-700,"""When soul and body are both in the same place, nature teaches the one to serve and be subject, the other to rule and govern.""",Plato (427 BC - 347 BC),http://metaphors.lib.virginia.edu/metaphors/16926,still_life_rule_govern_25,-700-0,-700
Impressions,1750,"""I believe that spirits are invisible; but is it impossible that, between two lovers so closely united, there should be an immediate communication, independent of the body and the senses? may not their mutual impressions be transmitted through the brain?""","Rousseau, Jean-Jacques (1712-1778); Kenrick, William (1729/30-1779)",http://metaphors.lib.virginia.edu/metaphors/21744,landscape_senses_may_mutual_impressions_8228,1750-1800,1750
Uncategorized,-700,"""The soul through all her being is immortal, for that which is ever in motion is immortal; but that which moves another and is moved by another, in ceasing to move ceases also to live.""",Plato (427 BC - 347 BC),http://metaphors.lib.virginia.edu/metaphors/19600,landscape_motion_moves_moved_move_38,-700-0,-700
"Uncategorized,Mineral",1750,"""Did not your master Plato maintain, that all the art of man, that all philosophy could not extract from the human mind what nature had not implanted there; as all the operations in chemistry are incapable of extracting from any mixture more gold than is already contained in it?""","Rousseau, Jean-Jacques (1712-1778); Kenrick, William (1729/30-1779)",http://metaphors.lib.virginia.edu/metaphors/21750,landscape_mixture_gold_contained_operati_8234,1750-1800,1750
"Animals,Fetters",1750,"""To one genius it is necessary to give wings, and to another shackles; one should be spurred forward, another reined in; one should be encouraged, another intimidated; sometimes it should be checked, and at others assisted.""","Rousseau, Jean-Jacques (1712-1778); Kenrick, William (1729/30-1779)",http://metaphors.lib.virginia.edu/metaphors/21751,portrait_give_wings_shackles_one_forwar_8235,1750-1800,1750
Plant,1750,"""The mind becomes heavy and dull by inaction. The seed takes no root in a soil badly prepared, and it is a strange manner of preparing children to become reasonable, by beginning to make them stupid.""","Rousseau, Jean-Jacques (1712-1778); Kenrick, William (1729/30-1779)",http://metaphors.lib.virginia.edu/metaphors/21753,landscape_seed_takes_root_soil_badly_see_8237,1750-1800,1750
Animals,-700,"""Now consider whether knowledge is a thing you can possess in that way without having it about you, like a man who has caught some wild birds--pigeons or what not--and keeps them in an aviary he has made for them at home.""",Plato (427 BC - 347 BC),http://metaphors.lib.virginia.edu/metaphors/16918,landscape_wild_birds_pigeons_aviary_home_55,-700-0,-700
Impressions,1750,"""This scene had made too deep an impression on our minds, not to be the subject of our discourse all the way home.""","Scott [née Robinson], Sarah  (1720-1795)",http://metaphors.lib.virginia.edu/metaphors/13796,landscape_impression_minds_8248,1750-1800,1750
"Uncategorized,Plant",1750,"""An idle mind, like fallow ground, is the soil for every weed to grow in; in it vice strengthens, the seed of every vanity flourishes unmolested and luxuriant; discontent, malignity, ill humour, spread far and wide, and the mind becomes a chaos, which it is beyond human power to call into order and beauty.""","Scott [née Robinson], Sarah  (1720-1795)",http://metaphors.lib.virginia.edu/metaphors/13800,landscape_fallow_ground_soil_grow_ground_8252,1750-1800,1750
Body,-700,"""The process [of thinking] is like that in which the air modifies the pupil in this or that way and the pupil transmits the modification to some third thing (and similarly in hearing), while the ultimate point of arrival is one, a single mean, with different manners of being.""",Aristotle (384-322 B.C.),http://metaphors.lib.virginia.edu/metaphors/16906,portrait_pupil_way_pupil_transmits_way__68,-700-0,-700
Light,1750,"""Often, like the evening-sun, comes the memory of former times on my soul.""","Ossian; Macpherson, James (1736-1796)",http://metaphors.lib.virginia.edu/metaphors/13827,still_life_comes_evening_sun_8266,1750-1800,1750
War,1750,"""Whatever glaring signs of Mr. Alworth's love appeared, she set them all down to the account of friendship; till at length his mind was so torn with grief and despair, that no longer able to conceal the cause of his greatest sufferings, he begged her to teach him how to conquer a passion, which, while it existed, must make him wretched.""","Scott [née Robinson], Sarah  (1720-1795)",http://metaphors.lib.virginia.edu/metaphors/13834,landscape_longer_conquer_passion_existed_8272,1750-1800,1750
War,1750,"One may see ""Tears which would melt a heart even free to view, / How then must mine that's conquered bleed anew""","Jemmat [née Yeo], Catherine (bap. 1714, d. 1766?)",http://metaphors.lib.virginia.edu/metaphors/13836,landscape_heart_even_conquered_bleed_8274,1750-1800,1750
Mineral,1750,"""He stood this scene unmoved, and even seemed to enjoy the prospect, wearing the looks of complacency while his heart was steeled with rancour""","Smollett, Tobias (1721-1777)",http://metaphors.lib.virginia.edu/metaphors/13885,landscape_heart_rancour_8282,1750-1800,1750
