x,y,id
54.0,45.0,still_life_water_death_water_water_death__0
72.0,62.0,still_life_extinguish_blazing_fire_1
40.0,62.0,landscape_every_road_discover_limits_2
41.0,9.0,landscape_stamp_first_law_8199
65.0,64.0,still_life_gleam_dry_light_8
71.0,7.0,landscape_empire_8206
27.0,42.0,portrait_eye_looking_pupil_eye_17
20.0,24.0,landscape_little_impression_upon_8216
44.0,9.0,still_life_rule_govern_25
20.0,33.0,landscape_senses_may_mutual_impressions_8228
32.0,67.0,landscape_motion_moves_moved_move_38
86.0,50.0,landscape_mixture_gold_contained_operati_8234
61.0,52.0,portrait_give_wings_shackles_one_forwar_8235
44.0,79.0,landscape_seed_takes_root_soil_badly_see_8237
58.0,49.0,landscape_wild_birds_pigeons_aviary_home_55
19.0,30.0,landscape_impression_minds_8248
45.0,79.0,landscape_fallow_ground_soil_grow_ground_8252
28.0,45.0,portrait_pupil_way_pupil_transmits_way__68
62.0,65.0,still_life_comes_evening_sun_8266
58.0,23.0,landscape_longer_conquer_passion_existed_8272
66.0,41.0,landscape_heart_even_conquered_bleed_8274
71.0,41.0,landscape_heart_rancour_8282
45.0,4.0,still_life_command_rules_usurps_magic_wan_8286
61.0,14.0,still_life_master_chattel_101
60.0,16.0,landscape_slavery_masters_102
45.0,23.0,landscape_wander_far_afield_allow_altoge_107
17.0,52.0,still_life_pictures_adorned_room_8307
29.0,64.0,portrait_heart_brain_8309
29.0,80.0,still_life_weigh_crowns_light_scale_far_l_8311
51.0,20.0,landscape_ignis_fatuus_led_8312
38.0,55.0,portrait_door_passage_crowding_force_un_8313
5.0,46.0,landscape_stamps_coins_coins_marks_marks_120
78.0,53.0,landscape_hearthstone_124
28.0,48.0,still_life_magical_coat_8318
22.0,46.0,still_life_like_reflection_resting_shinin_128
71.0,58.0,landscape__8320
19.0,31.0,still_life_impression_8322
35.0,67.0,landscape_impel_action_impulse_8324
15.0,55.0,landscape_mind_disposed_paint_colours_co_8326
37.0,11.0,landscape_whether_judges_reason_136
20.0,36.0,landscape_objects_crowding_disturb_impre_8330
40.0,9.0,still_life_law_law_law_144
27.0,41.0,still_life_eye_mind_fixed_steadily_search_152
9.0,45.0,still_life_objects_imprinted_upon_8346
38.0,48.0,still_life_chewing_cud_160
79.0,41.0,still_life_steel_8352
23.0,50.0,portrait_mentis_mirror_162
63.0,70.0,landscape_sun_vision_164
28.0,42.0,portrait_eye_eye_looks_something_165
32.0,50.0,still_life_bodily_garments_clothes_bodily_166
27.0,68.0,still_life_book_169
58.0,26.0,landscape_de_passions_sont_8362
10.0,44.0,landscape_caracteres_find_heart_written__8361
45.0,26.0,landscape_enemy_den_sin_temple_gracious__182
43.0,80.0,landscape_gravitational_force_attraction_185
35.0,46.0,landscape_body_heat_calefaction_calefact_191
20.0,58.0,landscape_round_scenes_imagination_8384
53.0,31.0,landscape_future_harmony_attuned_fill_ch_8387
29.0,41.0,portrait_seeing_eye_seeing_197
64.0,69.0,still_life_light_light_light_light_201
53.0,61.0,landscape_storms_mind_impression_8394
41.0,61.0,portrait_colours_different_complections_8393
24.0,50.0,still_life_pictured_upon_countenance_appe_8401
23.0,47.0,landscape_mirror_glass_unwritten_page_pr_8402
59.0,18.0,still_life_soul_soul_rules_master_rules_s_215
69.0,35.0,landscape_bands_assistance_bands_either_8408
58.0,43.0,portrait_body_slave_sense_217
